建设单位,项目名称,建设位置,规划验收证照名称,规划验收发文号,验收日期
北京市朝阳区园林绿化局,朝阳区清苑路22号院1号楼 2-6号天然气工程,由朝阳区红军营路朝阳区红军营路到朝阳区红军营路,2019规自条市政字0016号,2019条市政字0001,办结
北京地铁七号线投资有限责任公司,北京轨道交通7号线（二期）东延工程 张家湾车辆段（上盖综合利用预留工程）,通州区东六环西侧路,2019规自建市政字0089号,2019市政建字0091,办结
北京首开亿信置业股份有限公司,分钟寺桥西北侧地区回迁安置房项目给水、电力、热力管道工程,由朝阳区方庄东路经丰台区到丰台区方庄东路与南三环辅路交界处,2019规自建市政字0088号,2019市政建字0090,办结
北京地铁京通发展有限责任公司,北京轨道交通八通线二期（南延）工程 地下区间,由通州区九棵树中路经张采路到通州区规划萧太后河南街,2019规自建市政字0086号,2019市政建字0089,办结
北京首开亿信置业股份有限公司,分钟寺桥西北侧地区回迁安置房项目方庄东四、五号路道路工程,由朝阳区方庄东路经丰台区到丰台区方庄东五号路,2019规自建市政字0087号,2019市政建字0088,办结
北京地铁七号线投资有限责任公司,地铁7号线工程 双井站改造工程,朝阳区东三环路与广渠门外大街相交路口,2019规自建市政字0083号,2019市政建字0085,办结
北京地铁七号线投资有限责任公司,北京轨道交通7号线二期（东延）工程高楼金站主体建设工程,通州区群芳南街与颐瑞中路相交路口,,2019市政建字0084,正常移交
北京地铁京通发展有限责任公司,轨道交通八通线二期（南延）工程施园站,通州区规划东六环西侧路与东六环相交路口,,2019市政建字0083,正常移交
北京首开亿信置业股份有限公司,分钟寺桥西北侧地区回迁安置房项目再生水工程,由朝阳区方庄东路经丰台区到丰台区方庄东五号路,2019规自建市政字0079号,2019市政建字0082,办结
北京首开亿信置业股份有限公司,分钟寺桥西北侧地区回迁安置房项目天然气工程,由朝阳区方庄东路到丰台区方庄东一号路,2019规自建市政字0080号,2019市政建字0081,办结
北京地铁七号线投资有限责任公司,北京轨道交通7号线二期（东延）工程 云景东路站（工程名称）,通州区九棵树中路与万盛南街相交路口,2019规自建市政字0078号,2019市政建字0080,办结
